cd_os,ds_grupo,vl_quant,vl_preco_unitario
33058554,IMOBILIZADOS MAQUINAS,1.0000,2288.6400000
34470553,IMOBILIZADOS MAQUINAS,1.0000,4335.2100000
34469140,IMOBILIZADOS MAQUINAS,1.0000,3717.5900000
32380104,SUPRIMENTOS MAQUINAS,1.0000,821.2100000
30143369,SUPRIMENTOS MAQUINAS,2.0000,132.0000000
33204470,SUPRIMENTOS MAQUINAS,1.0000,132.3700000
34629970,SUPRIMENTOS MAQUINAS,1.0000,131.8400000
34910843,SUPRIMENTOS MAQUINAS,2.0000,87.9700000
29239146,PEÇAS MAQUINAS,1.0000,1255.5800000
26547786,IMOBILIZADOS MAQUINAS,1.0000,2831.3500000
33122770,PEÇAS MAQUINAS,1.0000,1254.6200000
29002472,PEÇAS MAQUINAS,1.0000,1004.8100000
32919032,PEÇAS MAQUINAS,1.0000,501.0300000
35269642,IMOBILIZADOS MAQUINAS,1.0000,1319.3600000
34468970,IMOBILIZADOS MAQUINAS,1.0000,4349.0200000
34470361,IMOBILIZADOS MAQUINAS,1.0000,4366.5000000
34469893,IMOBILIZADOS MAQUINAS,1.0000,4360.5200000
27529897,PEÇAS MAQUINAS,1.0000,501.0300000
34467554,IMOBILIZADOS MAQUINAS,1.0000,4343.3800000
34817105,SUPRIMENTOS MAQUINAS,1.0000,305.4900000
27624056,PEÇAS MAQUINAS,1.0000,311.6200000
34843880,PEÇAS MAQUINAS,1.0000,50.1300000
35080758,PEÇAS MAQUINAS,1.0000,50.0600000
34959108,PEÇAS MAQUINAS,1.0000,50.0600000
28525412,PEÇAS MAQUINAS,1.0000,50.0400000
34479693,PEÇAS MAQUINAS,1.0000,50.0400000
34323987,PEÇAS MAQUINAS,1.0000,50.0500000
31794101,PEÇAS MAQUINAS,1.0000,50.0300000
28422884,IMOBILIZADOS MAQUINAS,1.0000,1160.7900000
30576315,PEÇAS MAQUINAS,1.0000,50.0900000
33229468,PEÇAS MAQUINAS,1.0000,50.1300000
30969534,PEÇAS MAQUINAS,1.0000,50.1100000
33975268,BENS DIVERSOS,21.0000,6.6400000
28530608,PEÇAS MAQUINAS,1.0000,50.1100000
30793861,PEÇAS MAQUINAS,1.0000,50.1100000
35262925,PEÇAS MAQUINAS,1.0000,50.1100000
27824853,PEÇAS MAQUINAS,1.0000,310.5600000
28025103,PEÇAS MAQUINAS,1.0000,311.5900000
27361646,PEÇAS MAQUINAS,1.0000,50.1200000
28028036,PEÇAS MAQUINAS,1.0000,310.4700000
28697685,PEÇAS MAQUINAS,1.0000,50.0600000
31838649,PEÇAS MAQUINAS,1.0000,50.1100000
28710398,PEÇAS MAQUINAS,1.0000,1413.9100000
34477753,PEÇAS MAQUINAS,1.0000,81.9300000
30731036,IMOBILIZADOS MAQUINAS,1.0000,4270.3600000
34470075,ACESSORIOS MAQUINAS,1.0000,881.7400000
28391544,ACESSORIOS MAQUINAS,1.0000,575.6700000
34464750,ACESSORIOS MAQUINAS,1.0000,138.6200000
28685056,ACESSORIOS MAQUINAS,1.0000,462.6800000
32168151,SUPRIMENTOS MAQUINAS,1.0000,309.2400000
34469008,IMOBILIZADOS MAQUINAS,1.0000,4342.1000000
28582767,SUPRIMENTOS MAQUINAS,1.0000,131.6600000
28723684,SUPRIMENTOS MAQUINAS,1.0000,131.7300000
32416057,SUPRIMENTOS MAQUINAS,1.0000,131.7300000
31367608,SUPRIMENTOS MAQUINAS,1.0000,131.6300000
34470700,IMOBILIZADOS MAQUINAS,1.0000,1882.2200000
34467830,IMOBILIZADOS MAQUINAS,1.0000,4339.2300000
34470663,IMOBILIZADOS MAQUINAS,1.0000,4334.0600000
34470499,IMOBILIZADOS MAQUINAS,1.0000,4334.0600000
27716692,SUPRIMENTOS MAQUINAS,1.0000,131.7500000
32369908,SUPRIMENTOS MAQUINAS,1.0000,150.6700000
32856875,PEÇAS MAQUINAS,1.0000,1106.0600000
33590574,PEÇAS MAQUINAS,1.0000,535.4900000
34469940,IMOBILIZADOS MAQUINAS,1.0000,4353.9200000
28729198,SUPRIMENTOS MAQUINAS,1.0000,131.6400000
31825040,SUPRIMENTOS MAQUINAS,1.0000,132.0500000
34468600,IMOBILIZADOS MAQUINAS,1.0000,4341.0600000
33653079,IMOBILIZADOS MAQUINAS,1.0000,4355.4200000
32923032,SUPRIMENTOS MAQUINAS,1.0000,131.5800000
34891567,SUPRIMENTOS MAQUINAS,1.0000,132.1400000
33122218,SUPRIMENTOS MAQUINAS,1.0000,140.6900000
28116722,PEÇAS MAQUINAS,1.0000,50.3000000
28266908,PEÇAS SCRAP,1.0000,0.0000000
34332528,PEÇAS MAQUINAS,1.0000,50.0900000
33710635,PEÇAS MAQUINAS,1.0000,50.1100000
35222385,PEÇAS MAQUINAS,1.0000,50.0400000
30553654,PEÇAS MAQUINAS,1.0000,50.0300000
34533858,PEÇAS MAQUINAS,1.0000,50.0400000
33440407,PEÇAS MAQUINAS,1.0000,50.1000000
27079548,PEÇAS MAQUINAS,1.0000,50.2100000
30477785,PEÇAS MAQUINAS,1.0000,50.2400000
29825299,PEÇAS MAQUINAS,1.0000,50.1100000
35168393,PEÇAS MAQUINAS,1.0000,57.2500000
34504304,PEÇAS MAQUINAS,1.0000,50.0000000
31745042,PEÇAS MAQUINAS,1.0000,50.0000000
34319305,PEÇAS MAQUINAS,1.0000,89.0400000
27829060,PEÇAS MAQUINAS,1.0000,311.5300000
30839240,PEÇAS MAQUINAS,1.0000,50.0600000
28021916,PEÇAS MAQUINAS,1.0000,310.5300000
28976526,PEÇAS MAQUINAS,1.0000,310.2600000
32043270,PEÇAS MAQUINAS,1.0000,131.0200000
28119648,PEÇAS MAQUINAS,1.0000,89.0400000
33105152,PEÇAS MAQUINAS,1.0000,50.0400000
29949621,PEÇAS MAQUINAS,1.0000,131.2400000
29303541,PEÇAS MAQUINAS,1.0000,62.7300000
34466690,IMOBILIZADOS MAQUINAS,1.0000,4365.2300000
30201167,SUPRIMENTOS MAQUINAS,1.0000,145.6600000
34475043,SUPRIMENTOS MAQUINAS,1.0000,18.9000000
34324747,PEÇAS MAQUINAS,1.0000,1004.5400000
34477938,PEÇAS MAQUINAS,1.0000,501.8300000
34469042,IMOBILIZADOS MAQUINAS,1.0000,4349.1300000
34467604,IMOBILIZADOS MAQUINAS,1.0000,4343.3800000
27146908,PEÇAS MAQUINAS,1.0000,62.6800000
34468399,IMOBILIZADOS MAQUINAS,1.0000,4347.8700000
31385289,SUPRIMENTOS MAQUINAS,3.0000,286.0500000
34475043,SUPRIMENTOS MAQUINAS,1.0000,24.5700000
31272990,PEÇAS MAQUINAS,1.0000,1008.5500000
34818110,PEÇAS MAQUINAS,1.0000,500.3100000
34843286,PEÇAS MAQUINAS,1.0000,501.8900000
34469224,IMOBILIZADOS MAQUINAS,1.0000,4168.4600000
34464989,IMOBILIZADOS MAQUINAS,1.0000,4359.2500000
33419953,IMOBILIZADOS MAQUINAS,1.0000,4888.5400000
33204291,SUPRIMENTOS MAQUINAS,1.0000,579.0300000
27359979,PEÇAS MAQUINAS,1.0000,1034.2900000
27347620,PEÇAS MAQUINAS,1.0000,110.4900000
28197781,PEÇAS MAQUINAS,1.0000,3213.0400000
26743691,PEÇAS MAQUINAS,1.0000,880.2400000
33109633,IMOBILIZADOS MAQUINAS,1.0000,14426.6000000
27645540,PEÇAS MAQUINAS,1.0000,1411.3700000
34966418,PEÇAS MAQUINAS,1.0000,81.9300000
28870642,IMOBILIZADOS MAQUINAS,1.0000,7210.3200000
31324621,PEÇAS MAQUINAS,1.0000,625.3300000
34466138,IMOBILIZADOS MAQUINAS,1.0000,6919.2000000
34470019,ACESSORIOS MAQUINAS,1.0000,755.7400000
28848084,PEÇAS MAQUINAS,1.0000,1485.0000000
35051201,PEÇAS MAQUINAS,1.0000,1601.3600000
31641447,PEÇAS MAQUINAS,1.0000,1489.8000000
33508453,PEÇAS MAQUINAS,2.0000,397.9900000
29009568,IMOBILIZADOS MAQUINAS,1.0000,4265.8300000
28993419,IMOBILIZADOS MAQUINAS,1.0000,4269.4500000
32420230,PEÇAS MAQUINAS,1.0000,397.9000000
26598733,PEÇAS MAQUINAS,1.0000,2834.6200000
34886571,PEÇAS MAQUINAS,1.0000,1559.6800000
32377815,PEÇAS MAQUINAS,1.0000,1484.9300000
33885998,PEÇAS MAQUINAS,1.0000,1071.9300000
34683806,PEÇAS MAQUINAS,1.0000,1693.7100000
34470072,ACESSORIOS MAQUINAS,1.0000,881.7400000
26891302,PEÇAS MAQUINAS,1.0000,60.2000000
27142637,SUPRIMENTOS MAQUINAS,1.0000,390.2900000
35303299,SUPRIMENTOS MAQUINAS,1.0000,439.8000000
33528091,SUPRIMENTOS MAQUINAS,1.0000,728.7200000
34124534,SUPRIMENTOS MAQUINAS,4.0000,389.1500000
34354784,SUPRIMENTOS MAQUINAS,1.0000,409.8100000
29722279,PEÇAS MAQUINAS,1.0000,985.4500000
34468116,IMOBILIZADOS MAQUINAS,1.0000,1882.6700000
33058545,IMOBILIZADOS MAQUINAS,1.0000,2288.6400000
34467585,IMOBILIZADOS MAQUINAS,1.0000,3712.5800000
30144835,SUPRIMENTOS MAQUINAS,2.0000,131.8500000
34469306,IMOBILIZADOS MAQUINAS,1.0000,1883.7700000
34863326,IMOBILIZADOS MAQUINAS,1.0000,3712.1800000
30832354,PEÇAS MAQUINAS,3.0000,1481.0400000
34469206,IMOBILIZADOS MAQUINAS,1.0000,1883.6700000
35134349,SUPRIMENTOS MAQUINAS,1.0000,132.3700000
32510731,PEÇAS MAQUINAS,1.0000,349.4800000
34468766,IMOBILIZADOS MAQUINAS,1.0000,1380.9900000
34466681,IMOBILIZADOS MAQUINAS,1.0000,4358.2900000
28438823,SUPRIMENTOS MAQUINAS,1.0000,131.6700000
27748406,PEÇAS SCRAP,1.0000,286.8100000
34049350,SUPRIMENTOS MAQUINAS,1.0000,234.2800000
32055086,PEÇAS MAQUINAS,1.0000,50.2600000
33978825,PEÇAS MAQUINAS,1.0000,332.9400000
28190867,PEÇAS MAQUINAS,1.0000,50.1000000
34528753,PEÇAS MAQUINAS,1.0000,50.2500000
28468119,PEÇAS MAQUINAS,1.0000,50.2600000
35205802,PEÇAS MAQUINAS,1.0000,50.2700000
35345812,PEÇAS MAQUINAS,1.0000,50.2700000
26683381,BENS DIVERSOS,21.0000,7.2700000
30416382,IMOBILIZADOS MAQUINAS,1.0000,1142.1000000
35027783,PEÇAS MAQUINAS,1.0000,50.0700000
28647887,PEÇAS MAQUINAS,1.0000,50.1000000
34959586,PEÇAS MAQUINAS,1.0000,50.0600000
27799061,PEÇAS MAQUINAS,1.0000,50.1100000
32163717,PEÇAS MAQUINAS,1.0000,50.2700000
28112897,PEÇAS MAQUINAS,1.0000,50.2500000
34116141,PEÇAS MAQUINAS,1.0000,50.0900000
32415036,PEÇAS MAQUINAS,1.0000,50.0600000
31610496,PEÇAS MAQUINAS,1.0000,50.2600000
32690490,PEÇAS MAQUINAS,1.0000,50.1600000
33618310,PEÇAS MAQUINAS,1.0000,50.3000000
32855977,PEÇAS MAQUINAS,1.0000,1003.6400000
33204291,SUPRIMENTOS MAQUINAS,1.0000,598.5000000
29728898,PEÇAS MAQUINAS,1.0000,1006.6200000
34470656,IMOBILIZADOS MAQUINAS,1.0000,4340.9700000
27743150,PEÇAS MAQUINAS,1.0000,20.4700000
33188984,PEÇAS MAQUINAS,1.0000,1254.0500000
35157792,PEÇAS MAQUINAS,1.0000,503.4200000
34466738,IMOBILIZADOS MAQUINAS,1.0000,4340.9700000
34409144,IMOBILIZADOS MAQUINAS,1.0000,2291.7400000
30274206,IMOBILIZADOS MAQUINAS,1.0000,2290.4700000
29374069,PEÇAS MAQUINAS,1.0000,199.8000000
28391569,IMOBILIZADOS MAQUINAS,1.0000,7189.5800000
34106234,PEÇAS MAQUINAS,1.0000,625.3300000
31092651,PEÇAS MAQUINAS,1.0000,81.9300000
28741365,IMOBILIZADOS MAQUINAS,1.0000,7188.6300000
27644136,PEÇAS MAQUINAS,1.0000,2437.8900000
31056446,PEÇAS MAQUINAS,1.0000,217.8100000
27127779,PEÇAS MAQUINAS,1.0000,871.9100000
26172114,IMOBILIZADOS MAQUINAS,1.0000,4270.6900000
27923960,PEÇAS MAQUINAS,1.0000,1484.4500000
30331047,PEÇAS MAQUINAS,1.0000,976.7800000
28193828,PEÇAS MAQUINAS,1.0000,722.0400000
28200572,PEÇAS MAQUINAS,1.0000,81.9300000
28187617,PEÇAS MAQUINAS,1.0000,399.4100000
33268617,PEÇAS MAQUINAS,1.0000,63.0300000
34468166,IMOBILIZADOS MAQUINAS,1.0000,6903.3200000
35369484,PEÇAS MAQUINAS,2.0000,1689.8300000
34190575,PEÇAS MAQUINAS,1.0000,790.2400000
35108506,PEÇAS MAQUINAS,1.0000,138.6600000
28389591,IMOBILIZADOS MAQUINAS,1.0000,3647.4500000
34468085,IMOBILIZADOS MAQUINAS,1.0000,13662.7400000
30753330,PEÇAS MAQUINAS,1.0000,1485.2300000
30052708,PEÇAS MAQUINAS,1.0000,399.7600000
31308730,SUPRIMENTOS MAQUINAS,2.0000,222.6500000
27114657,SUPRIMENTOS MAQUINAS,1.0000,275.8000000
28779507,PEÇAS MAQUINAS,1.0000,578.4500000
30317017,SUPRIMENTOS MAQUINAS,1.0000,292.7800000
26463220,SUPRIMENTOS MAQUINAS,1.0000,222.8000000
30053822,SUPRIMENTOS MAQUINAS,1.0000,223.4800000
28737208,PEÇAS MAQUINAS,1.0000,19.3700000
28273942,SUPRIMENTOS MAQUINAS,4.0000,752.1500000
33779219,SUPRIMENTOS MAQUINAS,1.0000,222.3800000
33195832,SUPRIMENTOS MAQUINAS,2.0000,222.7600000
28440921,SUPRIMENTOS MAQUINAS,1.0000,677.3300000
31898299,IMOBILIZADOS MAQUINAS,1.0000,1584.9800000
27821596,SUPRIMENTOS MAQUINAS,1.0000,321.2200000
28280008,SUPRIMENTOS MAQUINAS,1.0000,680.1100000
29114997,SUPRIMENTOS MAQUINAS,2.0000,258.9900000
26172038,IMOBILIZADOS MAQUINAS,1.0000,4267.5200000
29738296,IMOBILIZADOS MAQUINAS,1.0000,8355.9600000
34824986,PEÇAS MAQUINAS,1.0000,1559.8000000
26172029,IMOBILIZADOS MAQUINAS,1.0000,4266.1700000
34470634,IMOBILIZADOS MAQUINAS,1.0000,8102.7400000
34997244,PEÇAS MAQUINAS,1.0000,2354.3500000
33387937,PEÇAS MAQUINAS,1.0000,81.9300000
32562196,IMOBILIZADOS MAQUINAS,1.0000,1183.3300000
30790740,IMOBILIZADOS MAQUINAS,1.0000,4289.6800000
34469319,IMOBILIZADOS MAQUINAS,1.0000,13671.0500000
34470217,IMOBILIZADOS MAQUINAS,1.0000,13712.9800000
33121719,PEÇAS MAQUINAS,3.0000,1489.7900000
33806879,PEÇAS MAQUINAS,1.0000,627.4300000
34466336,IMOBILIZADOS MAQUINAS,1.0000,8107.4600000
27063202,SERVIÇO,1.0000,313.4000000
29994194,PEÇAS MAQUINAS,1.0000,1484.4500000
33389890,PEÇAS MAQUINAS,1.0000,1489.9400000
28995266,IMOBILIZADOS MAQUINAS,1.0000,4270.3500000
30150315,IMOBILIZADOS MAQUINAS,1.0000,4640.0100000
29434950,IMOBILIZADOS MAQUINAS,1.0000,7198.9000000
27247140,SERVIÇO,1.0000,13.8500000
35022784,PEÇAS MAQUINAS,1.0000,1149.4200000
35213348,PEÇAS MAQUINAS,1.0000,615.0600000
27359979,PEÇAS MAQUINAS,1.0000,973.3800000
28369106,PEÇAS MAQUINAS,1.0000,866.2600000
28274287,PEÇAS MAQUINAS,1.0000,81.9300000
28418017,PEÇAS MAQUINAS,1.0000,81.9300000
27815747,PEÇAS MAQUINAS,1.0000,81.9300000
29186762,PEÇAS MAQUINAS,1.0000,70.3700000
28268290,PEÇAS MAQUINAS,1.0000,418.9900000
33886472,IMOBILIZADOS MAQUINAS,1.0000,4641.3600000
29534774,SUPRIMENTOS MAQUINAS,1.0000,132.7900000
28315229,SUPRIMENTOS MAQUINAS,1.0000,132.9600000
27213077,SUPRIMENTOS MAQUINAS,1.0000,86.0300000
32925007,SUPRIMENTOS MAQUINAS,1.0000,97.5700000
28160908,PEÇAS MAQUINAS,1.0000,419.4600000
30158623,SUPRIMENTOS MAQUINAS,1.0000,196.6600000
28350504,SUPRIMENTOS MAQUINAS,1.0000,139.5400000
27757741,SUPRIMENTOS MAQUINAS,1.0000,175.2100000
34124459,SUPRIMENTOS MAQUINAS,1.0000,725.0200000
28439363,SUPRIMENTOS MAQUINAS,1.0000,133.4100000
28630721,SUPRIMENTOS MAQUINAS,1.0000,132.9900000
32368668,SUPRIMENTOS MAQUINAS,1.0000,97.6600000
35302065,SUPRIMENTOS MAQUINAS,4.0000,193.0500000
35140274,SUPRIMENTOS MAQUINAS,1.0000,193.1200000
31639243,SUPRIMENTOS MAQUINAS,1.0000,257.4300000
33316700,SUPRIMENTOS MAQUINAS,1.0000,133.4100000
35138195,SUPRIMENTOS MAQUINAS,1.0000,174.2900000
31641315,SUPRIMENTOS MAQUINAS,2.0000,86.3500000
33386719,SUPRIMENTOS MAQUINAS,1.0000,86.2200000
32168254,SUPRIMENTOS MAQUINAS,1.0000,86.2600000
35157110,SUPRIMENTOS MAQUINAS,1.0000,101.9200000
29072889,SUPRIMENTOS MAQUINAS,1.0000,725.0200000
28973468,SUPRIMENTOS MAQUINAS,1.0000,86.3600000
28588570,SUPRIMENTOS MAQUINAS,1.0000,97.1100000
26946463,SUPRIMENTOS MAQUINAS,1.0000,97.1900000
34211898,IMOBILIZADOS MAQUINAS,1.0000,4618.9700000
28818349,SUPRIMENTOS MAQUINAS,1.0000,144.6500000
32923892,SUPRIMENTOS MAQUINAS,2.0000,86.1100000
28187890,SUPRIMENTOS MAQUINAS,6.0000,97.3700000
28350740,SUPRIMENTOS MAQUINAS,1.0000,97.6800000
34047541,SUPRIMENTOS MAQUINAS,1.0000,97.2300000
30951643,SUPRIMENTOS MAQUINAS,1.0000,94.8700000
29337478,SUPRIMENTOS MAQUINAS,1.0000,260.7100000
32368655,SUPRIMENTOS MAQUINAS,2.0000,97.3200000
31227523,SUPRIMENTOS MAQUINAS,1.0000,97.4100000
30052227,SUPRIMENTOS MAQUINAS,1.0000,132.8600000
27125622,SUPRIMENTOS MAQUINAS,1.0000,139.3700000
30832659,SUPRIMENTOS MAQUINAS,1.0000,97.2200000
30411899,SUPRIMENTOS MAQUINAS,1.0000,80.3500000
27263405,PEÇAS MAQUINAS,1.0000,377.2500000
32371466,SUPRIMENTOS MAQUINAS,1.0000,132.7300000
33268875,SUPRIMENTOS MAQUINAS,1.0000,133.2100000
28273728,SUPRIMENTOS MAQUINAS,1.0000,86.0900000
33523639,SUPRIMENTOS MAQUINAS,1.0000,86.0200000
27126089,SUPRIMENTOS MAQUINAS,1.0000,184.1400000
27125691,SUPRIMENTOS MAQUINAS,1.0000,152.6500000
28704674,SUPRIMENTOS MAQUINAS,2.0000,125.3900000
34819545,SUPRIMENTOS MAQUINAS,1.0000,133.4100000
33702509,SUPRIMENTOS MAQUINAS,1.0000,132.8200000
29077910,SUPRIMENTOS MAQUINAS,1.0000,494.2600000
32369525,SUPRIMENTOS MAQUINAS,1.0000,86.1000000
34206921,SUPRIMENTOS MAQUINAS,1.0000,97.5200000
34205703,SUPRIMENTOS MAQUINAS,1.0000,97.6800000
35363251,SUPRIMENTOS MAQUINAS,1.0000,253.2700000
34125438,SUPRIMENTOS MAQUINAS,1.0000,86.2400000
35378826,SUPRIMENTOS MAQUINAS,2.0000,95.5700000
34336267,ACESSORIOS MAQUINAS,1.0000,156.5400000
28519521,PEÇAS MAQUINAS,1.0000,25.2100000
28979415,SUPRIMENTOS MAQUINAS,2.0000,308.7100000
35032415,SUPRIMENTOS MAQUINAS,1.0000,325.6500000
35144620,SUPRIMENTOS MAQUINAS,1.0000,440.1900000
31123683,SUPRIMENTOS MAQUINAS,1.0000,539.0400000
30580294,SUPRIMENTOS MAQUINAS,1.0000,388.6500000
26635078,PEÇAS MAQUINAS,1.0000,1142.0300000
30832266,PEÇAS MAQUINAS,3.0000,1481.0400000
30310740,PEÇAS MAQUINAS,1.0000,138.2900000
26945926,SUPRIMENTOS MAQUINAS,1.0000,132.8300000
34960129,SUPRIMENTOS MAQUINAS,1.0000,131.9300000
28977873,SUPRIMENTOS MAQUINAS,1.0000,104.2900000
31127363,SUPRIMENTOS MAQUINAS,3.0000,153.6000000
34468411,IMOBILIZADOS MAQUINAS,1.0000,1380.8500000
34800975,IMOBILIZADOS MAQUINAS,1.0000,2286.8300000
30579926,SUPRIMENTOS MAQUINAS,1.0000,60.5700000
28167386,SUPRIMENTOS MAQUINAS,1.0000,133.1600000
34679209,IMOBILIZADOS MAQUINAS,1.0000,3000.9300000
34312287,IMOBILIZADOS MAQUINAS,1.0000,1962.9400000
33887150,SUPRIMENTOS MAQUINAS,1.0000,132.3100000
29072083,SUPRIMENTOS MAQUINAS,1.0000,132.0000000
35213634,SUPRIMENTOS MAQUINAS,1.0000,131.6700000
34125338,SUPRIMENTOS MAQUINAS,1.0000,132.0200000
33390490,SUPRIMENTOS MAQUINAS,1.0000,327.6700000
33398092,PEÇAS MAQUINAS,1.0000,1476.7000000
30411873,IMOBILIZADOS MAQUINAS,1.0000,1555.2700000
28131125,SUPRIMENTOS MAQUINAS,1.0000,132.5700000
33852472,PEÇAS MAQUINAS,1.0000,50.2000000
32153349,PEÇAS MAQUINAS,1.0000,53.4600000
28904498,PEÇAS MAQUINAS,2.0000,5.1900000
29278280,PEÇAS MAQUINAS,1.0000,50.0900000
32630500,PEÇAS MAQUINAS,1.0000,50.2200000
28233988,PEÇAS MAQUINAS,1.0000,50.1900000
32806403,PEÇAS MAQUINAS,1.0000,50.0200000
32525772,PEÇAS MAQUINAS,2.0000,7.0500000
34624658,PEÇAS MAQUINAS,1.0000,50.1400000
30799309,PEÇAS MAQUINAS,1.0000,50.2600000
27546416,PEÇAS MAQUINAS,1.0000,50.1700000
30498569,PEÇAS MAQUINAS,1.0000,50.0900000
34838052,PEÇAS MAQUINAS,1.0000,50.2300000
34012292,PEÇAS MAQUINAS,1.0000,50.1000000
33103908,PEÇAS MAQUINAS,1.0000,50.1600000
34493079,BENS DIVERSOS,69.0000,6.6300000
32603308,PEÇAS MAQUINAS,1.0000,560.6800000
28148059,PEÇAS MAQUINAS,1.0000,50.0500000
29071882,BENS DIVERSOS,17.0000,6.6300000
29239146,PEÇAS MAQUINAS,1.0000,50.1000000
33257916,PEÇAS MAQUINAS,1.0000,50.2300000
32908823,PEÇAS MAQUINAS,1.0000,50.1800000
33549449,PEÇAS MAQUINAS,1.0000,50.2600000
31602709,PEÇAS MAQUINAS,1.0000,50.1700000
35116969,PEÇAS MAQUINAS,1.0000,50.1000000
35344939,PEÇAS MAQUINAS,1.0000,50.0600000
27247136,IMOBILIZADOS MAQUINAS,1.0000,4052.0500000
34431858,IMOBILIZADOS MAQUINAS,1.0000,4347.9800000
32114670,PEÇAS MAQUINAS,1.0000,1254.8500000
34470192,IMOBILIZADOS MAQUINAS,1.0000,4362.9300000
30001755,PEÇAS MAQUINAS,1.0000,1253.8900000
28561964,PEÇAS MAQUINAS,1.0000,1004.5400000
34466687,IMOBILIZADOS MAQUINAS,1.0000,4365.2300000
34468622,IMOBILIZADOS MAQUINAS,1.0000,4348.1000000
34467601,IMOBILIZADOS MAQUINAS,1.0000,4343.3800000
30201167,SUPRIMENTOS MAQUINAS,1.0000,150.5600000
35373149,PEÇAS MAQUINAS,1.0000,68.8600000
31498941,IMOBILIZADOS MAQUINAS,1.0000,4362.1300000
32923041,SUPRIMENTOS MAQUINAS,3.0000,276.7500000
34778866,PEÇAS MAQUINAS,1.0000,1563.2300000
30471471,PEÇAS MAQUINAS,1.0000,81.9300000
29643358,PEÇAS MAQUINAS,1.0000,81.9300000
28917086,IMOBILIZADOS MAQUINAS,1.0000,4623.0100000
28087086,IMOBILIZADOS MAQUINAS,1.0000,4272.2700000
34465902,IMOBILIZADOS MAQUINAS,1.0000,8111.5400000
27959634,IMOBILIZADOS MAQUINAS,1.0000,4926.6600000
28579150,IMOBILIZADOS MAQUINAS,35.0000,8821.1300000
34467934,IMOBILIZADOS MAQUINAS,1.0000,8784.4100000
27417544,PEÇAS MAQUINAS,1.0000,1412.3400000
31799524,PEÇAS MAQUINAS,1.0000,840.9700000
27660442,IMOBILIZADOS MAQUINAS,1.0000,4906.2900000
34469978,IMOBILIZADOS MAQUINAS,1.0000,6925.0500000
28381144,SERVIÇO,1.0000,21.4300000
28581960,PEÇAS MAQUINAS,1.0000,625.1500000
28391544,IMOBILIZADOS MAQUINAS,1.0000,8952.3100000
35417985,PEÇAS MAQUINAS,2.0000,1565.5800000
35186382,PEÇAS MAQUINAS,1.0000,2121.3600000
